título,organismo,creado,actualizado,sector,idioma,coberturageográfica,frecuenciadeactualización,urldocumentacion,urlnormativa,descargas,visitas,clasificación,url
Cobertura boscosa de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2021-10-25T19:49:43.075034,2021-11-02T21:39:58.779216,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/cobertura-boscosa-de-santiago-de-cali
Cinturón ecológico de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2021-10-20T15:45:17.194308,2021-11-02T21:38:30.419954,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/cinturon-ecologico
Casos de Sustancias Psicoactivas (SPA) en Santiago de cali,Secretaría de Salud Pública,2021-10-29T21:15:05.279903,2021-10-29T21:17:26.595924,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,7,13,5,http://datos.cali.gov.co/dataset/casos-de-sustancias-psicoactivas-spa-en-santiago-de-cali
Expedientes abiertos por acoso laboral en la alcaldía de Santiago de Cali,Departamento Administrativo de Control Disciplinario Interno,2021-10-29T20:13:39.929623,2021-10-29T20:15:45.197416,Organismos de Control,Español,Municipal/Distrital,Anual,No aplica,http://www.secretariasenado.gov.co/senado/basedoc/ley_1010_2006.html,4,16,5,http://datos.cali.gov.co/dataset/expedientes-abiertos-por-acoso-laboral-en-la-alcaldia-de-santiago-de-cali
Horarios y puntos de atención programa Cali Juega,Secretaria del Deporte y la Recreación,2021-10-29T15:07:42.342915,2021-10-29T15:16:59.081599,Deporte y Recreación,Español,Municipal/Distrital,Anual,No aplica,No aplica,12,30,3,http://datos.cali.gov.co/dataset/horarios-y-puntos-de-atencion-programa-cali-juega
Construcciones sobre predios propiedad del Distrito de Santiago de Cali,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2019-08-23T18:28:53.265315,2021-10-28T16:43:12.520385,Infraestructura y Catastro,Español,Local,Semestral,No aplica,No aplica,15,43,4,http://datos.cali.gov.co/dataset/construcciones-sobre-predios-propiedad-del-distrito-de-santiago-de-cali
Corregimientos de Cali,Departamento Administrativo de Planeación Municipal,2020-12-31T02:30:09.119741,2021-10-25T17:22:33.901082,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,14,26,4.5,http://datos.cali.gov.co/dataset/servicio-wms-corregimientos-de-cali
Taller Historias de Origen,Unidad Administrativa Especial Estudio de Grabación Takeshima,2021-08-10T15:34:41.006492,2021-10-25T15:20:11.006853,Cultura,Español,Local,Trienio,No aplica,No aplica,5,14,2,http://datos.cali.gov.co/dataset/taller-historias-de-origen
Prestación de Servicio,Unidad Administrativa Especial Estudio de Grabación Takeshima,2021-08-10T15:38:30.095008,2021-10-25T14:57:32.582845,Cultura,Español,Local,Semestral,No aplica,No aplica,4,10,4,http://datos.cali.gov.co/dataset/prestacion-de-servicio
Inscritos Diplomado Smart Stories,Unidad Administrativa Especial Estudio de Grabación Takeshima,2021-08-10T15:29:20.870961,2021-10-25T14:28:00.615861,Cultura,Español,Local,No aplica,No aplica,No aplica,9,18,1,http://datos.cali.gov.co/dataset/inscritos-diplomado-smart-stories
Datos de calidad del aire en la Estación Base Aérea en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-29T01:00:31.741038,2021-10-21T21:32:40.722158,Ambiente y Desarrollo Sostenible,Español,Local,Anual,No aplica,No aplica,79,166,3,http://datos.cali.gov.co/dataset/datos-de-calidad-del-aire-en-la-estacion-base-aerea-2013-a-2020-en-santiago-de-cali
Población beneficiada con los bienes inmuebles propiedad del Distrito,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2018-10-31T20:22:03.594047,2021-10-21T17:20:13.622749,Inclusión Social y Reconciliación,Español,Local,Semestral,No aplica,No aplica,36,78,5,http://datos.cali.gov.co/dataset/poblacion-beneficiada-con-los-bienes-inmuebles-propiedad-del-distrito
Terrenos en inventario del Distrito disponibles en la plataforma SIBICA,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2019-08-23T17:50:01.323454,2021-10-21T15:59:32.877581,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,43,80,5,http://datos.cali.gov.co/dataset/terrenos-en-inventario-del-distrito-en-sibica
Automotores en uso y propiedad del Distrito para el servicio de los funcionarios y contratistas,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2019-12-27T16:51:01.208631,2021-10-21T15:38:46.441434,Movilidad,Español,Local,Semestral,No aplica,No aplica,21,60,5,http://datos.cali.gov.co/dataset/automotores-en-uso-y-propiedad-del-distrito
Red de Control Geodésico,Departamento Administrativo de Planeación Municipal,2020-12-31T02:18:10.167379,2021-10-20T17:14:09.499034,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,7,14,2,http://datos.cali.gov.co/dataset/servicio-wms-red-de-control-geodesico
Perímetro Urbano de Cali - año 2000,Departamento Administrativo de Planeación Municipal,2020-12-31T00:55:33.918594,2021-10-20T17:00:39.577539,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,12,24,4,http://datos.cali.gov.co/dataset/servicio-wms-perimetro-urbano-cali-ano-2000
Perímetro Urbano de Cali - año 1962,Departamento Administrativo de Planeación Municipal,2020-12-31T01:48:50.651107,2021-10-20T16:55:08.395577,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,4,14,1,http://datos.cali.gov.co/dataset/servicio-wms-perimetro-urbano-cali-ano-1962
Perímetro urbano de Cali - año 1991,Departamento Administrativo de Planeación Municipal,2020-12-30T22:40:17.470904,2021-10-20T16:53:00.239290,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,5,12,3.5,http://datos.cali.gov.co/dataset/servicio-wms-perimetro-urbano-cali-ano-1991
Comunas de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2020-12-31T03:06:32.255293,2021-10-20T16:45:11.390382,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,22,33,2.5,http://datos.cali.gov.co/dataset/servicio-wms-comunas-de-cali
Veredas de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2021-06-05T04:27:29.741137,2021-10-20T15:32:50.835934,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,1,1,3,http://datos.cali.gov.co/dataset/servicio-wms-de-las-veredas-de-cali
prueba,Concejo Distrital de Santiago de Cali,2021-10-14T19:41:56.812891,2021-10-14T19:48:36.349834,Agricultura y desarrollo Rural,Español,Local,Diaria,No aplica,No aplica,1,1,0,http://datos.cali.gov.co/dataset/prueba
Establecimientos de alojamiento Santiago de Cali,Secretaría de Turismo,2019-04-01T22:16:03.972965,2021-10-12T19:23:48.267937,Turismo,Español,Municipal/Distrital,Anual,No aplica,www.cali.gov.co/turismo,191,334,4,http://datos.cali.gov.co/dataset/establecimientos-de-alojamiento-cali
Registros de Vacunas para COVID-19 aplicadas en Santiago de Cali,Secretaría de Salud Pública,2021-03-24T20:25:29.379302,2021-10-11T19:22:44.484637,Salud y Protección Social,Español,Municipal/Distrital,Semanal,No aplica,No aplica,338,424,4.5,http://datos.cali.gov.co/dataset/registros-de-vacunas-para-covid-aplicadas
Estadísticas Youtube de la Alcaldía de Santiago de Cali,Secretaría de Gobierno,2018-10-31T13:44:13.280958,2021-10-06T15:01:00.612339,Participación Ciudadana,Español,Internacional,Trimestral,No aplica,No aplica,50,60,4.5,http://datos.cali.gov.co/dataset/estadisticas-youtube-alcaldia-de-santiago-de-cali
Resultados Programa Anual de Auditoría Interna 2020,Departamento Administrativo de Control Interno,2021-01-02T05:45:19.108119,2021-10-04T21:52:04.522379,Organismos de Control,Español,Local,Anual,No aplica,No aplica,26,74,5,http://datos.cali.gov.co/dataset/resultados-programa-anual-de-auditoria-interna-2020
"Consolidado de servidores públicos del Distrito Especial de Santiago de Cali, sensibilizados sobre normas vigentes del Sistema de Control Interno.",Departamento Administrativo de Control Interno,2019-12-23T17:17:42.195769,2021-10-04T21:45:26.840862,Organismos de Control,Español,Local,Anual,No aplica,No aplica,29,87,4,http://datos.cali.gov.co/dataset/servidores-publicos-sensibilizados-sobre-normas-vigentes-del-sistema-de-control-interno
Información general de la conducta disciplinable en la Secretaría de Movilidad del municipio de Santiago de Cali año 2017,Departamento Administrativo de Control Disciplinario Interno,2018-12-13T20:28:49.401788,2021-09-30T23:07:40.361181,Organismos de Control,Español,Municipal/Distrital,No aplica,http://www.cali.gov.co/disciplinario/publicaciones/147280/libro-analisis-de-la-conducta-disciplinaria-2017/,No aplica,59,155,5,http://datos.cali.gov.co/dataset/informacion-general-conducta-disciplinable-secretaria-movilidad-municipio-santiago-cali-ano-2017
Relación de fallos disciplinarios de docentes emitidos año 2012-2013-2014 en Cali,Departamento Administrativo de Control Disciplinario Interno,2018-10-28T18:45:46.767165,2021-09-30T23:00:24.113230,Organismos de Control,Español,Local,No aplica,http://www.cali.gov.co/disciplinario/publicaciones/115227/publicaciones_observatorio_de,No aplica,28,99,4.5,http://datos.cali.gov.co/dataset/relacion-de-fallos-disciplinarios-de-docentes-emitidos-ano-2012-2013-2014-en-cali
Control Poblacional Caninos y Felinos en santiago de Cali,Secretaría de Salud Pública,2021-09-30T21:22:04.535391,2021-09-30T21:40:27.936130,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,10,8,5,http://datos.cali.gov.co/dataset/control-poblacional-caninos-y-felinos-en-santiago-de-cali
Quince primeras causas de mortalidad en Santiago de Cali,Secretaría de Salud Pública,2021-09-30T17:29:17.245831,2021-09-30T19:55:09.447139,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,12,19,5,http://datos.cali.gov.co/dataset/quince-primeras-causas-de-mortalidad-en-santiago-de-cali
Casos de posibles víctimas de trata de personas atendidas en la ciudad de Santiago de Cali,Secretaría de Paz y Cultura ciudadana,2019-03-28T14:10:41.844301,2021-09-30T14:59:16.989587,Social / Población,Español,Municipal/Distrital,Semestral,No aplica,No aplica,105,171,4,http://datos.cali.gov.co/dataset/casos-de-posibles-victimas-de-trata-de-personas-atendidas-en-santiago-de-cali
"Compras realizadas por la Administración Central del Distrito de Santiago de Cali, relacionadas con urgencia manifiesta",Departamento Administrativo de Contratación Pública,2021-09-29T19:53:54.606577,2021-09-29T20:07:10.389819,Agricultura y desarrollo Rural,Español,Local,Mensual,https://colombiacompra.gov.co/secop-ii,No aplica,17,29,5,http://datos.cali.gov.co/dataset/compras-relacionadas-con-urgencia-manifiesta
cursos a  infractores,Secretaría de Movilidad,2020-12-31T22:29:34.288559,2021-09-28T04:23:43.638333,Movilidad,Español,Local,Anual,No aplica,No aplica,23,36,3,http://datos.cali.gov.co/dataset/curso-infractores-2020
"Campañas de educación vial en Santiago de Cali, por temática y por vigencias",Secretaría de Movilidad,2018-10-31T14:35:48.933486,2021-09-28T04:23:10.362563,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,110,169,1,http://datos.cali.gov.co/dataset/campanas-de-educacion-vial-por-tematica-durante-el-ano-2017-al-2020
"Reporte de accidentes en Santiago de Cali, según tipo",Secretaría de Movilidad,2019-11-20T14:13:12.335749,2021-09-28T04:22:27.785423,Movilidad,Español,Municipal/Distrital,Anual,No aplica,No aplica,109,146,3.5,http://datos.cali.gov.co/dataset/reporte-de-accidentes-segun-tipo-ano-2018-al-2020
Trámites realizados en Santiago de Cali,Secretaría de Movilidad,2018-10-31T14:31:14.718309,2021-09-28T04:21:44.674277,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,49,67,5,http://datos.cali.gov.co/dataset/tramites-realizados-durante-el-ano-2020
Intersecciones viales sanforizadas de Cali,Secretaría de Movilidad,2018-10-31T14:33:31.025582,2021-09-28T04:21:01.865066,Movilidad,Español,Local,Anual,No aplica,No aplica,85,114,4.5,http://datos.cali.gov.co/dataset/intersecciones-viales-semaforizadas-de-cali-2020
Pruebas de alcoholemia positivas realizadas en Cali.,Secretaría de Movilidad,2018-10-31T14:22:35.939909,2021-09-28T04:20:25.054306,Movilidad,Español,Local,Anual,No aplica,No aplica,68,79,5,http://datos.cali.gov.co/dataset/alcoholemia-positivas-tercer-trimestre-2017-2020
"Siniestralidad en Santiago de Cali, según el mes",Secretaría de Movilidad,2018-10-31T14:39:53.139852,2021-09-28T04:19:45.014759,Movilidad,Español,Local,Anual,No aplica,No aplica,55,92,4,http://datos.cali.gov.co/dataset/siniestralidad-segun-mes-de-los-anos-2016-2017-2018-y-2019
Vehículos inmovilizados en patios oficiales,Secretaría de Movilidad,2020-12-29T19:32:13.922388,2021-09-28T04:18:55.900833,Movilidad,Español,Local,Anual,No aplica,No aplica,25,47,4,http://datos.cali.gov.co/dataset/vehiculos-inmovilizados-en-patios-oficiales-ano-2020
"Pruebas de alcoholemia realizadas en Cali, por mes",Secretaría de Movilidad,2018-10-31T14:08:53.079852,2021-09-28T04:18:15.982223,Movilidad,Español,Local,Anual,No aplica,No aplica,59,87,4,http://datos.cali.gov.co/dataset/alcoholemia2016-2020
Cantidad de vehículos activos en Cali por tipo servicio,Secretaría de Movilidad,2018-10-31T14:28:25.779762,2021-09-28T04:17:32.004056,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,348,523,5,http://datos.cali.gov.co/dataset/cantidad-de-vehiculos-activos-por-tipo-servicio-a-2020
Imposición de comparendos,Secretaría de Movilidad,2020-12-29T19:10:18.150340,2021-09-28T03:47:49.981095,Movilidad,Español,Local,Anual,No aplica,No aplica,15,30,1,http://datos.cali.gov.co/dataset/imposicion-de-comparendos-en-el-ano-2020
Quejas recibidas por no suministrar respuesta a derechos de petición en la Alcaldía de Santiago de Cali,Departamento Administrativo de Control Disciplinario Interno,2019-09-30T22:01:39.071315,2021-09-27T22:21:22.182667,Organismos de Control,Español,Local,Anual,No aplica,No aplica,35,84,1,http://datos.cali.gov.co/dataset/quejas-recibidas-por-no-suministrar-respuesta
Indicador Mensual de Actividad Económica,Secretaria Desarrollo Económico,2021-06-29T19:44:28.895492,2021-09-27T19:38:45.945441,"Económica, Industria y Comercio",Español,Municipal/Distrital,Mensual,No aplica,No aplica,22,40,4,http://datos.cali.gov.co/dataset/indicador-mensual-de-actividad-economica
Servicio WMS Barrios de Cali,Departamento Administrativo de Planeación Municipal,2020-12-31T03:11:44.440732,2021-09-27T00:32:22.719597,Ordenamiento Territorial,Español,Local,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,No aplica,32,47,4,http://datos.cali.gov.co/dataset/servicio-wms-barrios-de-cali
Juntas de Acción Comunal de Santiago de Cali,Secretaría de Desarrollo Territorial y Participación Ciudadana,2018-11-30T13:19:25.035061,2021-09-24T15:02:49.208970,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,302,604,5,http://datos.cali.gov.co/dataset/juntas-de-accion-comunal-de-santiago-de-cali
Mesas de Cultura Ciudadana para la Paz de Santiago de Cali,Secretaría de Paz y Cultura ciudadana,2021-09-22T20:07:10.535327,2021-09-22T20:23:45.278909,Participación Ciudadana,Español,Local,Semestral,No aplica,No aplica,7,17,5,http://datos.cali.gov.co/dataset/mesas-de-cultura-ciudadana-para-la-paz-de-santiago-de-cali
Capa de Barrios y Sectores geográficos de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2019-12-17T22:35:14.866219,2021-09-22T16:37:54.587629,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,No aplica,No aplica,264,713,3.5,http://datos.cali.gov.co/dataset/capa-de-barrios-de-santiago-de-cali
"Operadores profesionales de congresos, ferias y convenciones de Santiago de Cali",Secretaría de Turismo,2018-10-31T18:01:34.444785,2021-09-21T16:17:15.121110,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,94,207,5,http://datos.cali.gov.co/dataset/operadores-profesionales-de-congresos-ferias-y-convenciones
Transporte Terrestre Automotor Especial de Santiago de Cali,Secretaría de Turismo,2019-04-02T22:17:53.146479,2021-09-21T16:15:48.981824,Turismo,Español,Local,Anual,No aplica,www.cali.gov.co/turismo,90,183,1,http://datos.cali.gov.co/dataset/transporte-terrestre-automotor-especial-de-cali
Oficinas de Representación Turística de Santiago de Cali,Secretaría de Turismo,2019-04-02T22:26:35.871715,2021-09-21T16:14:08.880173,Turismo,Español,Local,Anual,No aplica,www.cali.gov.co/turismo,49,95,4,http://datos.cali.gov.co/dataset/oficinas-de-representacion-turistica-de-cali
Establecimientos de gastronomía Cali,Secretaría de Turismo,2018-10-31T17:59:17.003866,2021-09-21T16:12:20.611227,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,210,518,5,http://datos.cali.gov.co/dataset/establecimientos-de-gastronomia-cali
Entidades y gremios de turismo de Santiago de Cali,Secretaría de Turismo,2019-04-02T22:21:49.652248,2021-09-21T16:10:25.391925,Turismo,Español,Local,Anual,No aplica,www.cali.gov.co/turismo,37,81,1,http://datos.cali.gov.co/dataset/entidades-y-gremios-de-turismo-de-santiago-de-cali
Arrendadores de vehículos para turismo nacional e internacional de Santiago de Cali,Secretaría de Turismo,2019-04-02T17:03:45.511210,2021-09-21T16:08:01.481955,Turismo,Español,Municipal/Distrital,Anual,No aplica,www.cali.gov.co/turismo,37,75,5,http://datos.cali.gov.co/dataset/arrendadores-de-vehiculos-para-turismo-nacional-e-internacional-de-cali
Empresas Captadoras de Ahorros y de Servicios Turísticos de Santiago de Cali,Secretaría de Turismo,2019-04-02T22:14:21.112390,2021-09-21T16:05:14.485037,Turismo,Español,Municipal/Distrital,Anual,No aplica,www.cali.gov.co/turismo,48,89,5,http://datos.cali.gov.co/dataset/empresas-captadoras-de-ahorros-y-de-servicios-turisticos-de-cali
Agencias de viajes Santiago de Cali,Secretaría de Turismo,2018-12-13T20:31:38.893011,2021-09-21T15:55:34.390798,Turismo,Español,Municipal/Distrital,Anual,No aplica,No aplica,91,160,5,http://datos.cali.gov.co/dataset/agencias-de-viajes
Convocatoria Cuento con Cali,Unidad Administrativa Especial Estudio de Grabación Takeshima,2021-03-08T20:12:39.645004,2021-09-20T15:35:47.196688,Cultura,Español,Local,No aplica,No aplica,No aplica,14,12,4,http://datos.cali.gov.co/dataset/convocatoria-cuento-con-cali
Plan Anual de Adquisiciones 2021,Concejo Distrital de Santiago de Cali,2021-09-15T15:39:07.608410,2021-09-15T22:44:13.860140,Gastos Gubernamentales,Español,Municipal/Distrital,Anual,No aplica,www.concejodecali.gov.co,5,21,4,http://datos.cali.gov.co/dataset/plan-anual-de-adquisiciones-2021
Directorio General de Contactos,Secretaría de Gobierno,2018-10-31T13:35:59.667543,2021-09-15T21:04:41.948184,Cooperación Internacional,Español,Internacional,Anual,No aplica,No aplica,120,133,3.5,http://datos.cali.gov.co/dataset/directorio-general-de-stake-holders
Convenios y Memorandos de Entendimiento - Oficina de Relaciones y Cooperación,Secretaría de Gobierno,2019-06-25T19:46:04.002769,2021-09-15T19:52:00.243905,Cooperación Internacional,Español,Internacional,Anual,No aplica,No aplica,89,94,1,http://datos.cali.gov.co/dataset/convenios-y-memorandos-de-entendimiento-oficina-de-relaciones-y-cooperacion
Aprovechamiento de residuos sólidos de Cali,Secretaria Desarrollo Económico,2021-06-28T14:45:59.416870,2021-09-14T03:37:56.868325,Ambiente y Desarrollo Sostenible,Español,Local,Mensual,No aplica,No aplica,39,43,4,http://datos.cali.gov.co/dataset/aprovechamiento-de-residuos-solidos-de-cali
Índice de información clasificada y reservada de la Alcaldía de Cali,Departamento Administrativo de Desarrollo e Innovación Institucional,2019-08-29T19:50:19.829973,2021-09-08T19:51:03.984207,Gestión Pública/Administrativa,Español,Local,Trienio,No aplica,No aplica,40,131,3,http://datos.cali.gov.co/dataset/indice-de-informacion-clasificada-y-reservada-de-la-alcaldia-de-cali
Fotodetecciones en Santiago de Cali.,Secretaría de Movilidad,2018-10-31T14:04:57.696584,2021-09-07T02:35:45.710892,Movilidad,Español,Local,Anual,No aplica,No aplica,106,138,3.5,http://datos.cali.gov.co/dataset/fotodetecciones-ano-2016-2020
Porcentaje sanciones disciplinarias por conducta en Cali,Departamento Administrativo de Control Disciplinario Interno,2018-10-28T18:35:17.136145,2021-08-30T23:57:32.490382,Gestión Pública/Administrativa,Español,Local,Anual,No aplica,No aplica,74,161,4,http://datos.cali.gov.co/dataset/porcentaje-sanciones-disciplinarias-por-conducta-en-cali
Procesos judiciales en contra del municipio de Santiago de Cali,Departamento Administrativo de Gestión Jurídica Pública,2018-10-29T01:14:10.984410,2021-08-30T19:09:25.456118,Agricultura y desarrollo Rural,Español,Local,Trimestral,No aplica,No aplica,42,98,2,http://datos.cali.gov.co/dataset/procesos-judiciales-en-contra-del-municipio-de-santiago-de-cali
Directorio de juzgados en Cali,Departamento Administrativo de Gestión Jurídica Pública,2019-12-27T16:39:17.092573,2021-08-30T18:31:22.498701,Gestión Pública/Administrativa,Español,Local,Trimestral,No aplica,No aplica,115,394,1,http://datos.cali.gov.co/dataset/directorio-de-juzgados-en-cali
Normatividad Distrital Expedida en el Marco de la Pandemia en Santiago de Cali,Departamento Administrativo de Gestión Jurídica Pública,2020-11-30T22:26:12.891603,2021-08-30T18:29:49.960838,Gestión Pública/Administrativa,Español,Local,Mensual,No aplica,No aplica,16,30,1,http://datos.cali.gov.co/dataset/normatividad-distrital-expedida-en-el-marco-de-la-pandemia-en-santiago-de-cali
Base de datos de nacionalizados por adopción en Santiago de Cali,Departamento Administrativo de Gestión Jurídica Pública,2018-12-13T20:26:33.553291,2021-08-30T18:26:41.681468,Agricultura y desarrollo Rural,Español,Local,Trimestral,No aplica,No aplica,35,82,3,http://datos.cali.gov.co/dataset/base-de-datos-de-nacionalizados-por-adopcion-en-santiago-de-cali
Clasificación de las barreras de acceso a los servicios de salud por EAPB en Santiago de Cali,Secretaría de Salud Pública,2021-08-30T14:57:55.925002,2021-08-30T15:41:51.952826,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,10,11,5,http://datos.cali.gov.co/dataset/clasificacion-de-las-barreras-de-acceso-a-los-servicios-de-salud-por-eapb-en-santiago-de-cali
Efectividad en la capacidad resolutiva de las EAPB de Cali frente a las barreras de acceso a los servicios de salud.,Secretaría de Salud Pública,2021-08-30T14:28:59.372198,2021-08-30T14:48:00.469799,Salud y Protección Social,Español,Municipal/Distrital,Anual,No aplica,No aplica,3,6,5,http://datos.cali.gov.co/dataset/efectividad-de-las-eapb-de-cali-frente-a-las-barreras-de-acceso
Organizaciones de Recicladores de Oficio_Cali_Agosto 2021,Unidad Administrativa Especial de Servicios Públicos Municipales,2021-08-26T19:46:00.840182,2021-08-26T19:52:25.348868,Ambiente y Desarrollo Sostenible,Español,Nacional,Anual,No aplica,No aplica,10,19,4,http://datos.cali.gov.co/dataset/organizaciones-de-recicladores-de-oficio_cali_agosto-2021
Clubes Deportivos reconocidos en Santiago de Cali,Secretaria del Deporte y la Recreación,2019-04-04T21:52:08.625645,2021-08-26T16:55:11.264087,Deporte y Recreación,Español,Local,Anual,No aplica,No aplica,165,269,5,http://datos.cali.gov.co/dataset/clubes-deportivos-reconocidos-en-santiago-de-cali
Subsidios mínimo vital de agua enero a junio del 2017 en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-29T21:36:36.116344,2021-08-26T00:55:26.658396,Vivienda y Hábitat,Español,Municipal/Distrital,No aplica,No aplica,No aplica,16,106,3,http://datos.cali.gov.co/dataset/minimo-vital-de-agua-subsidio-enero-a-junio-ano-2017
Juntas de agua en la zona rural  de la ciudad de Cali 2019,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-08-30T19:21:05.983195,2021-08-26T00:51:30.030224,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,22,62,4,http://datos.cali.gov.co/dataset/juntas-de-agua-georeferenciacion-en-la-zona-rural-de-la-ciudad-de-cali-2019
Fuentes oficiales de información en redes sociales Alcaldía Santiago de Cali,Secretaría de Gobierno,2019-04-10T16:38:57.802622,2021-08-23T19:07:38.796783,Participación Ciudadana,Español,Internacional,Semestral,No aplica,No aplica,62,160,4,http://datos.cali.gov.co/dataset/fuentes-oficiales-de-informacion-en-redes-sociales-alcaldia-santiago-de-cali
Puntos de Apropiación Digital (PAD) en Cali,Departamento Administrativo de Tecnologías de la Información y las Comunicaciones,2018-12-13T20:31:23.735092,2021-08-20T22:13:46.326599,Ciencia Tecnología e Innovación,Español,Municipal/Distrital,Trimestral,http://www.cali.gov.co/tic/publicaciones/105364/puntos_de_apropiacion_digital/,https://www.mintic.gov.co/portal/604/articles-9528_documento.pdf,214,553,3,http://datos.cali.gov.co/dataset/informacion-general-de-los-puntos-apropiacion-digital-infocali
Cantidad de Usuarios Conectados a Zonas Wi-Fi gratuitas de Cali,Departamento Administrativo de Tecnologías de la Información y las Comunicaciones,2019-12-12T19:29:37.582434,2021-08-20T21:52:21.485378,Ciencia Tecnología e Innovación,Español,Municipal/Distrital,Trimestral,No aplica,No aplica,37,77,3,http://datos.cali.gov.co/dataset/cantidad-de-usuarios-conectados-a-zonas-wi-fi-gratuitas-de-cali
Siniestralidad en las instituciones educativas públicas del Distrito Especial de Santiago de Cali,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2021-08-17T21:16:47.975651,2021-08-17T21:17:53.636698,Educación,Español,Local,Anual,No aplica,No aplica,1,9,5,http://datos.cali.gov.co/dataset/siniestralidad-en-las-instituciones-educativas-publicas-del-distrito-especial-de-santiago-de-cali
Participación de los organismos de la Administración Distrital en las pruebas psicosensométricas del Plan Estratégico de Seguridad Vial,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2021-06-18T14:22:47.145233,2021-08-17T20:21:26.754958,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,6,11,1,http://datos.cali.gov.co/dataset/participacion-pruebas-psicosensometricas-del-plan-estrategico-de-seguridad-vial
Asistencia y participación de los organismos de la Administración Distrital en las capacitaciones del Plan Estratégico de Seguridad Vial,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2021-06-18T13:55:14.310345,2021-08-17T20:15:01.261929,Gestión Pública/Administrativa,Español,Local,Anual,No aplica,No aplica,2,13,2,http://datos.cali.gov.co/dataset/asistencia-capacitaciones-del-plan-estrategico-de-seguridad-vial
Siniestralidad vehículos del parque automotor del Distrito Especial de Santiago de Cali,Unidad Administrativa Especial de Gestión de Bienes y Servicios,2021-08-17T16:52:01.447013,2021-08-17T17:05:59.574414,Movilidad,Español,Municipal/Distrital,Anual,No aplica,No aplica,3,17,5,http://datos.cali.gov.co/dataset/siniestralidad-vehiculos-del-parque-automotor-del-distrito-especial-de-santiago-de-cali
Acciones de Mejoramiento Integral del Hábitat realizadas en Santiago de Cali por la Secretaría de Vivienda Social y Hábitat,Secretaría de Vivienda Social y Hábitat,2020-12-27T20:24:13.646845,2021-08-13T21:59:27.479304,Vivienda y Hábitat,Español,Local,Anual,No aplica,No aplica,38,81,3,http://datos.cali.gov.co/dataset/acciones-de-mejoramiento-integral-del-habitat
